invoice_date,item_desc,service_added,job_type,liter_volume,material_cost,billed_amount,contractor_id
2023-02-13,Custom Mix (Blue),Delivery,Industrial,39.9,199.59,575.74,PAINT-705
2023-02-14,Matte White Base,Delivery,Auto,12.7,92.54,776.15,PAINT-768
2023-02-15,Brushes Set,Delivery,Residential,42.8,33.55,633.45,PAINT-348
2023-02-16,Primer 5L,None,Industrial,23.5,184.51,185.77,PAINT-420
2023-02-17,Matte White Base,None,Auto,29.0,113.47,221.41,PAINT-796
2023-02-18,Primer 5L,In-home Consult,Industrial,24.4,133.18,546.05,PAINT-658
2023-02-19,Primer 5L,Color Matching,Industrial,35.8,168.84,121.49,PAINT-820
2023-02-20,Matte White Base,None,Residential,49.9,89.59,452.07,PAINT-520
2023-02-21,Custom Mix (Blue),Delivery,Auto,25.4,178.22,701.26,PAINT-941
2023-02-22,Matte White Base,Color Matching,Residential,49.8,113.57,175.0,PAINT-344
2023-02-23,Custom Mix (Blue),None,Residential,41.0,58.06,107.02,PAINT-777
2023-02-24,Matte White Base,Color Matching,Commercial,9.1,153.89,55.83,PAINT-808
2023-02-25,Glossy Enamel,Delivery,Residential,45.1,173.55,275.69,PAINT-125
2023-02-26,Custom Mix (Blue),None,Residential,16.5,186.64,514.85,PAINT-216
2023-02-27,Brushes Set,Delivery,Commercial,46.8,10.23,571.54,PAINT-550
2023-02-28,Brushes Set,In-home Consult,Auto,24.8,90.22,138.0,PAINT-661
2023-03-01,Custom Mix (Blue),Delivery,Commercial,13.4,43.84,413.42,PAINT-446
2023-03-02,Custom Mix (Blue),None,Auto,42.5,196.96,63.49,PAINT-588
2023-03-03,Primer 5L,Delivery,Auto,17.8,23.23,166.17,PAINT-296
2023-03-04,Matte White Base,Color Matching,Auto,46.4,167.0,340.12,PAINT-435
2023-03-05,Glossy Enamel,None,Auto,32.2,195.87,700.92,PAINT-499
2023-03-06,Primer 5L,None,Commercial,11.9,185.06,609.23,PAINT-161
2023-03-07,Primer 5L,Delivery,Industrial,26.6,164.92,406.38,PAINT-291
2023-03-08,Brushes Set,Color Matching,Commercial,1.7,68.27,686.27,PAINT-689
2023-03-09,Matte White Base,None,Auto,18.6,71.31,669.46,PAINT-577
2023-03-10,Brushes Set,Delivery,Auto,23.0,162.05,406.39,PAINT-995
2023-03-11,Custom Mix (Blue),In-home Consult,Industrial,34.2,51.95,463.43,PAINT-184
2023-03-12,Glossy Enamel,In-home Consult,Industrial,16.6,96.76,492.01,PAINT-743
2023-03-13,Primer 5L,None,Auto,39.9,187.68,532.44,PAINT-410
2023-03-14,Brushes Set,Color Matching,Commercial,40.4,199.87,535.45,PAINT-607
2023-03-15,Custom Mix (Blue),In-home Consult,Residential,35.9,28.32,100.67,PAINT-417
2023-03-16,Custom Mix (Blue),None,Commercial,18.7,16.51,263.08,PAINT-518
2023-03-17,Glossy Enamel,None,Auto,1.4,85.05,129.35,PAINT-652
2023-03-18,Brushes Set,None,Commercial,23.5,140.36,407.96,PAINT-170
2023-03-19,Glossy Enamel,In-home Consult,Industrial,28.5,80.06,376.34,PAINT-736
2023-03-20,Custom Mix (Blue),Color Matching,Residential,22.2,77.5,395.33,PAINT-471
2023-03-21,Custom Mix (Blue),None,Auto,28.7,175.53,90.79,PAINT-101
2023-03-22,Custom Mix (Blue),In-home Consult,Residential,14.8,195.96,376.98,PAINT-573
2023-03-23,Brushes Set,In-home Consult,Auto,36.2,55.17,298.88,PAINT-681
2023-03-24,Custom Mix (Blue),Color Matching,Residential,9.8,55.03,558.91,PAINT-183
2023-03-25,Custom Mix (Blue),Color Matching,Industrial,32.7,185.23,195.07,PAINT-216
2023-03-26,Custom Mix (Blue),Color Matching,Industrial,2.6,99.64,727.74,PAINT-759
2023-03-27,Primer 5L,Color Matching,Auto,30.6,55.4,328.19,PAINT-256
2023-03-28,Primer 5L,Delivery,Commercial,13.8,159.22,532.62,PAINT-804
2023-03-29,Glossy Enamel,Color Matching,Commercial,22.8,174.51,488.74,PAINT-683
2023-03-30,Primer 5L,In-home Consult,Auto,44.2,122.53,191.18,PAINT-485
2023-03-31,Primer 5L,None,Industrial,12.3,190.83,152.93,PAINT-823
2023-04-01,Custom Mix (Blue),Color Matching,Residential,30.4,169.66,169.63,PAINT-147
2023-04-02,Brushes Set,In-home Consult,Commercial,32.7,41.47,336.21,PAINT-366
2023-04-03,Primer 5L,Color Matching,Residential,2.9,149.44,632.23,PAINT-120
2023-04-04,Brushes Set,Delivery,Auto,48.4,144.61,460.81,PAINT-101
2023-04-05,Custom Mix (Blue),Delivery,Industrial,43.6,151.21,205.86,PAINT-242
2023-04-06,Glossy Enamel,In-home Consult,Auto,32.3,146.93,447.72,PAINT-595
2023-04-07,Brushes Set,Color Matching,Commercial,37.1,35.52,438.6,PAINT-654
2023-04-08,Glossy Enamel,Delivery,Residential,22.7,71.27,60.97,PAINT-353
2023-04-09,Brushes Set,None,Industrial,39.1,41.74,419.08,PAINT-297
2023-04-10,Brushes Set,None,Commercial,47.1,141.71,450.07,PAINT-143
2023-04-11,Glossy Enamel,Color Matching,Auto,20.3,51.9,539.17,PAINT-291
2023-04-12,Brushes Set,None,Auto,40.6,137.0,704.22,PAINT-210
2023-04-13,Custom Mix (Blue),Delivery,Commercial,31.9,67.69,253.2,PAINT-196
2023-04-14,Glossy Enamel,Color Matching,Auto,29.0,192.27,90.7,PAINT-106
2023-04-15,Custom Mix (Blue),Delivery,Commercial,32.8,51.08,210.87,PAINT-630
2023-04-16,Primer 5L,None,Residential,40.2,106.59,686.49,PAINT-528
2023-04-17,Glossy Enamel,In-home Consult,Auto,49.9,60.77,73.04,PAINT-756
2023-04-18,Glossy Enamel,Delivery,Commercial,41.8,27.12,733.38,PAINT-582
2023-04-19,Primer 5L,In-home Consult,Residential,29.6,138.57,620.76,PAINT-292
2023-04-20,Primer 5L,In-home Consult,Auto,49.7,173.84,274.18,PAINT-288
2023-04-21,Glossy Enamel,Color Matching,Auto,11.0,49.32,781.05,PAINT-969
2023-04-22,Glossy Enamel,Delivery,Auto,27.4,113.62,195.52,PAINT-786
2023-04-23,Matte White Base,Delivery,Residential,21.5,45.58,184.6,PAINT-373
2023-04-24,Brushes Set,Color Matching,Industrial,8.5,73.73,373.97,PAINT-991
2023-04-25,Custom Mix (Blue),Color Matching,Auto,33.3,14.26,424.4,PAINT-559
2023-04-26,Primer 5L,In-home Consult,Auto,17.3,144.58,272.44,PAINT-478
2023-04-27,Brushes Set,In-home Consult,Auto,19.8,177.04,619.76,PAINT-326
2023-04-28,Glossy Enamel,Color Matching,Auto,42.8,163.41,470.85,PAINT-363
2023-04-29,Glossy Enamel,Color Matching,Residential,2.2,148.03,341.7,PAINT-103
2023-04-30,Primer 5L,None,Industrial,37.8,55.87,139.17,PAINT-491
2023-05-01,Brushes Set,Delivery,Residential,18.4,39.58,442.71,PAINT-468
2023-05-02,Brushes Set,Color Matching,Residential,20.3,196.19,226.36,PAINT-187
2023-05-03,Glossy Enamel,None,Commercial,11.9,166.99,130.16,PAINT-546
2023-05-04,Primer 5L,In-home Consult,Commercial,11.3,53.05,481.3,PAINT-380
2023-05-05,Brushes Set,Color Matching,Commercial,17.3,191.72,687.49,PAINT-609
2023-05-06,Glossy Enamel,Color Matching,Commercial,33.5,159.43,507.0,PAINT-437
2023-05-07,Glossy Enamel,None,Auto,5.0,172.37,743.96,PAINT-360
2023-05-08,Primer 5L,None,Commercial,40.1,33.57,401.52,PAINT-107
2023-05-09,Primer 5L,None,Commercial,23.3,145.55,253.33,PAINT-752
2023-05-10,Primer 5L,Color Matching,Residential,30.8,149.88,60.97,PAINT-795
2023-05-11,Brushes Set,Color Matching,Residential,22.3,52.93,507.29,PAINT-179
2023-05-12,Matte White Base,In-home Consult,Industrial,22.6,140.79,477.59,PAINT-842
2023-05-13,Brushes Set,None,Residential,40.4,117.63,211.31,PAINT-557
2023-05-14,Primer 5L,None,Industrial,39.8,103.99,157.61,PAINT-724
2023-05-15,Brushes Set,Delivery,Auto,29.3,98.83,558.16,PAINT-858
2023-05-16,Glossy Enamel,In-home Consult,Auto,18.5,180.63,319.53,PAINT-572
2023-05-17,Primer 5L,In-home Consult,Auto,47.8,29.46,153.96,PAINT-227
2023-05-18,Brushes Set,None,Industrial,10.0,111.89,238.43,PAINT-602
2023-05-19,Glossy Enamel,In-home Consult,Residential,3.2,177.64,180.51,PAINT-916
2023-05-20,Primer 5L,None,Residential,7.4,107.37,443.31,PAINT-202
2023-05-21,Brushes Set,Color Matching,Industrial,39.3,185.96,128.43,PAINT-596
2023-05-22,Glossy Enamel,Delivery,Auto,11.9,194.59,297.93,PAINT-970
2023-05-23,Matte White Base,None,Industrial,11.2,163.71,604.89,PAINT-850
2023-05-24,Primer 5L,None,Residential,23.9,120.81,664.99,PAINT-345
2023-05-25,Primer 5L,Color Matching,Industrial,28.3,172.66,145.61,PAINT-889
2023-05-26,Primer 5L,Delivery,Industrial,1.3,159.88,211.82,PAINT-741
2023-05-27,Primer 5L,Color Matching,Industrial,14.9,67.4,85.0,PAINT-138
2023-05-28,Primer 5L,Color Matching,Industrial,49.9,77.23,224.57,PAINT-884
2023-05-29,Custom Mix (Blue),Color Matching,Industrial,15.4,117.39,566.51,PAINT-195
2023-05-30,Primer 5L,None,Residential,18.6,199.6,439.93,PAINT-177
2023-05-31,Glossy Enamel,None,Commercial,29.3,78.14,250.41,PAINT-450
2023-06-01,Custom Mix (Blue),Delivery,Auto,16.9,68.44,441.67,PAINT-282
2023-06-02,Matte White Base,None,Industrial,25.6,119.27,468.99,PAINT-941
2023-06-03,Brushes Set,Color Matching,Commercial,45.6,140.01,662.31,PAINT-908
2023-06-04,Primer 5L,In-home Consult,Auto,24.7,95.91,167.09,PAINT-700
2023-06-05,Brushes Set,Delivery,Residential,27.8,112.18,603.94,PAINT-931
2023-06-06,Brushes Set,Delivery,Commercial,42.3,40.07,536.29,PAINT-486
2023-06-07,Brushes Set,None,Auto,2.2,28.38,358.19,PAINT-431
2023-06-08,Custom Mix (Blue),Color Matching,Residential,39.1,169.89,210.71,PAINT-406
2023-06-09,Primer 5L,None,Commercial,14.3,70.74,291.68,PAINT-139
2023-06-10,Custom Mix (Blue),Delivery,Industrial,35.7,90.42,506.38,PAINT-591
2023-06-11,Custom Mix (Blue),None,Commercial,6.9,62.04,263.33,PAINT-394
2023-06-12,Primer 5L,Delivery,Commercial,4.3,125.88,438.76,PAINT-778
2023-06-13,Matte White Base,Color Matching,Industrial,14.6,150.61,626.26,PAINT-628
2023-06-14,Matte White Base,None,Residential,34.5,95.86,708.87,PAINT-629
2023-06-15,Glossy Enamel,Delivery,Industrial,11.6,62.0,582.91,PAINT-252
2023-06-16,Matte White Base,None,Auto,48.3,13.9,548.42,PAINT-430
2023-06-17,Primer 5L,Delivery,Residential,34.4,29.67,603.63,PAINT-575
2023-06-18,Matte White Base,Color Matching,Auto,1.3,43.86,218.7,PAINT-378
2023-06-19,Glossy Enamel,Delivery,Residential,30.6,153.46,57.36,PAINT-695
2023-06-20,Custom Mix (Blue),Color Matching,Auto,5.6,117.02,438.83,PAINT-533
2023-06-21,Brushes Set,Color Matching,Auto,23.1,42.75,475.66,PAINT-244
2023-06-22,Brushes Set,None,Auto,9.5,191.91,232.89,PAINT-176
2023-06-23,Matte White Base,In-home Consult,Industrial,15.0,138.47,270.97,PAINT-820
2023-06-24,Custom Mix (Blue),Color Matching,Industrial,45.7,84.3,611.8,PAINT-192
2023-06-25,Custom Mix (Blue),Color Matching,Residential,48.4,21.77,608.04,PAINT-632
2023-06-26,Matte White Base,In-home Consult,Residential,23.5,11.09,115.53,PAINT-161
2023-06-27,Custom Mix (Blue),In-home Consult,Residential,13.8,134.5,167.23,PAINT-746
2023-06-28,Brushes Set,Delivery,Industrial,41.9,93.07,239.39,PAINT-398
2023-06-29,Glossy Enamel,Delivery,Auto,24.3,117.19,688.5,PAINT-895
2023-06-30,Custom Mix (Blue),Delivery,Industrial,36.3,15.72,797.18,PAINT-440
2023-07-01,Custom Mix (Blue),Color Matching,Industrial,13.8,89.05,255.78,PAINT-446
2023-07-02,Brushes Set,None,Residential,12.6,114.23,752.65,PAINT-627
2023-07-03,Glossy Enamel,None,Commercial,19.3,185.77,171.2,PAINT-995
2023-07-04,Custom Mix (Blue),Delivery,Commercial,41.2,109.88,369.69,PAINT-538
2023-07-05,Matte White Base,In-home Consult,Residential,48.8,136.24,393.64,PAINT-930
2023-07-06,Matte White Base,Color Matching,Residential,13.4,163.1,674.4,PAINT-765
2023-07-07,Custom Mix (Blue),In-home Consult,Industrial,8.0,54.21,92.09,PAINT-598
2023-07-08,Brushes Set,None,Auto,10.1,133.14,550.25,PAINT-114
2023-07-09,Primer 5L,None,Commercial,23.5,146.88,197.14,PAINT-173
2023-07-10,Glossy Enamel,Delivery,Industrial,42.5,190.73,784.67,PAINT-434
2023-07-11,Primer 5L,None,Commercial,40.2,170.83,154.42,PAINT-367
2023-07-12,Glossy Enamel,Color Matching,Residential,25.1,16.72,318.89,PAINT-191
2023-07-13,Primer 5L,None,Industrial,33.0,173.39,609.6,PAINT-255
2023-07-14,Matte White Base,None,Auto,5.1,190.31,494.12,PAINT-809
2023-07-15,Glossy Enamel,None,Auto,10.8,171.34,325.6,PAINT-977
2023-07-16,Glossy Enamel,Delivery,Commercial,39.7,65.75,559.36,PAINT-911
2023-07-17,Glossy Enamel,In-home Consult,Auto,14.4,123.09,606.9,PAINT-480
2023-07-18,Glossy Enamel,None,Commercial,23.5,138.71,309.47,PAINT-176
2023-07-19,Glossy Enamel,Delivery,Industrial,34.3,14.96,727.4,PAINT-421
2023-07-20,Primer 5L,Delivery,Residential,21.3,184.0,558.86,PAINT-520
2023-07-21,Matte White Base,Delivery,Commercial,5.3,89.25,194.5,PAINT-117
2023-07-22,Matte White Base,Delivery,Residential,29.1,74.97,395.8,PAINT-229
2023-07-23,Primer 5L,Delivery,Commercial,44.9,197.61,401.67,PAINT-553
2023-07-24,Primer 5L,Color Matching,Residential,21.7,171.27,753.04,PAINT-860
2023-07-25,Brushes Set,Color Matching,Residential,3.5,166.42,206.7,PAINT-981
2023-07-26,Glossy Enamel,In-home Consult,Commercial,3.6,140.16,150.74,PAINT-105
2023-07-27,Glossy Enamel,None,Residential,32.4,104.77,333.41,PAINT-386
2023-07-28,Brushes Set,In-home Consult,Industrial,16.8,184.71,449.39,PAINT-610
2023-07-29,Matte White Base,Delivery,Residential,50.0,109.41,326.48,PAINT-540
2023-07-30,Brushes Set,Color Matching,Commercial,28.1,138.73,206.45,PAINT-707
2023-07-31,Brushes Set,None,Residential,19.3,38.16,665.17,PAINT-596
2023-08-01,Matte White Base,Delivery,Industrial,29.7,145.14,586.68,PAINT-512
2023-08-02,Matte White Base,None,Auto,31.0,195.23,314.59,PAINT-168
2023-08-03,Primer 5L,None,Industrial,39.2,39.29,763.81,PAINT-844
2023-08-04,Primer 5L,Delivery,Commercial,44.1,79.73,336.36,PAINT-600
2023-08-05,Matte White Base,In-home Consult,Industrial,26.4,91.16,544.82,PAINT-982
2023-08-06,Custom Mix (Blue),In-home Consult,Auto,12.6,162.28,124.08,PAINT-610
2023-08-07,Primer 5L,In-home Consult,Industrial,3.1,64.78,338.84,PAINT-617
2023-08-08,Primer 5L,None,Residential,30.5,178.14,366.04,PAINT-615
2023-08-09,Primer 5L,None,Industrial,3.2,166.12,653.71,PAINT-527
2023-08-10,Glossy Enamel,None,Auto,36.2,170.9,586.43,PAINT-460
2023-08-11,Matte White Base,Color Matching,Auto,28.8,96.07,343.56,PAINT-245
2023-08-12,Custom Mix (Blue),None,Industrial,21.9,177.33,656.04,PAINT-439
2023-08-13,Custom Mix (Blue),Color Matching,Residential,9.4,143.0,344.72,PAINT-571
2023-08-14,Custom Mix (Blue),In-home Consult,Residential,33.0,139.78,80.55,PAINT-934
2023-08-15,Primer 5L,In-home Consult,Auto,17.6,170.94,432.82,PAINT-947
2023-08-16,Primer 5L,Color Matching,Commercial,36.6,30.22,182.49,PAINT-394
2023-08-17,Brushes Set,Delivery,Commercial,5.3,133.28,412.89,PAINT-424
2023-08-18,Glossy Enamel,Color Matching,Commercial,11.8,142.07,56.35,PAINT-817
2023-08-19,Primer 5L,In-home Consult,Industrial,46.7,102.93,313.83,PAINT-602
2023-08-20,Brushes Set,In-home Consult,Auto,6.7,80.93,218.26,PAINT-848
2023-08-21,Brushes Set,In-home Consult,Auto,44.3,95.68,612.17,PAINT-133
2023-08-22,Matte White Base,Delivery,Industrial,21.0,26.15,113.35,PAINT-200
2023-08-23,Matte White Base,Color Matching,Residential,24.7,164.99,389.36,PAINT-220
2023-08-24,Custom Mix (Blue),Delivery,Residential,32.9,49.37,656.34,PAINT-208
2023-08-25,Brushes Set,Delivery,Commercial,26.5,74.66,640.68,PAINT-574
2023-08-26,Matte White Base,Delivery,Auto,21.7,21.82,390.96,PAINT-199
2023-08-27,Glossy Enamel,Color Matching,Commercial,8.2,70.13,608.47,PAINT-635
2023-08-28,Glossy Enamel,None,Commercial,4.0,135.23,549.36,PAINT-986
2023-08-29,Brushes Set,Delivery,Industrial,5.2,144.63,103.58,PAINT-174
2023-08-30,Matte White Base,In-home Consult,Residential,35.9,14.47,133.83,PAINT-449
2023-08-31,Glossy Enamel,None,Industrial,7.5,122.98,731.8,PAINT-891
2023-09-01,Matte White Base,Color Matching,Industrial,10.5,119.5,362.07,PAINT-105
2023-09-02,Brushes Set,None,Commercial,3.1,109.92,739.32,PAINT-356
2023-09-03,Primer 5L,None,Industrial,44.3,38.58,146.27,PAINT-611
2023-09-04,Glossy Enamel,In-home Consult,Commercial,17.7,140.91,69.76,PAINT-268
2023-09-05,Matte White Base,None,Commercial,19.8,173.05,424.51,PAINT-110
2023-09-06,Custom Mix (Blue),Delivery,Industrial,24.3,54.85,189.04,PAINT-833
2023-09-07,Brushes Set,None,Auto,27.8,128.54,658.85,PAINT-664
2023-09-08,Brushes Set,In-home Consult,Auto,27.1,85.78,596.77,PAINT-365
2023-09-09,Matte White Base,None,Industrial,36.3,123.27,304.51,PAINT-634
2023-09-10,Custom Mix (Blue),Color Matching,Industrial,14.4,175.54,546.35,PAINT-509
2023-09-11,Custom Mix (Blue),None,Industrial,18.1,170.19,335.96,PAINT-133
2023-09-12,Matte White Base,Color Matching,Industrial,8.9,38.09,160.24,PAINT-525
2023-09-13,Brushes Set,In-home Consult,Industrial,16.7,33.64,187.54,PAINT-612
2023-09-14,Primer 5L,Delivery,Industrial,33.9,104.65,246.89,PAINT-366
2023-09-15,Primer 5L,None,Industrial,5.5,195.41,172.61,PAINT-724
2023-09-16,Glossy Enamel,None,Industrial,19.3,165.35,394.62,PAINT-542
2023-09-17,Matte White Base,Delivery,Residential,31.9,138.99,653.37,PAINT-320
2023-09-18,Matte White Base,Color Matching,Auto,33.1,122.83,745.14,PAINT-222
2023-09-19,Custom Mix (Blue),None,Industrial,37.2,16.73,311.42,PAINT-172
2023-09-20,Matte White Base,Color Matching,Commercial,11.7,104.91,799.34,PAINT-313
2023-09-21,Matte White Base,Delivery,Industrial,49.9,130.48,116.8,PAINT-712
2023-09-22,Brushes Set,Delivery,Industrial,11.8,77.97,756.52,PAINT-178
2023-09-23,Custom Mix (Blue),Delivery,Industrial,21.0,153.97,230.92,PAINT-348
2023-09-24,Custom Mix (Blue),Color Matching,Commercial,27.8,56.68,57.92,PAINT-874
2023-09-25,Custom Mix (Blue),Delivery,Auto,12.0,72.23,117.04,PAINT-191
2023-09-26,Glossy Enamel,Delivery,Commercial,18.6,146.72,136.87,PAINT-581
2023-09-27,Matte White Base,None,Auto,16.4,130.23,221.58,PAINT-529
2023-09-28,Primer 5L,In-home Consult,Residential,2.4,38.05,368.63,PAINT-883
2023-09-29,Primer 5L,None,Commercial,21.2,25.09,499.77,PAINT-946
2023-09-30,Custom Mix (Blue),Color Matching,Industrial,17.9,91.47,421.48,PAINT-483
2023-10-01,Primer 5L,Color Matching,Industrial,26.1,147.98,346.33,PAINT-431
2023-10-02,Matte White Base,Color Matching,Commercial,45.4,55.25,317.01,PAINT-683
2023-10-03,Custom Mix (Blue),Color Matching,Auto,28.1,91.48,257.11,PAINT-925
2023-10-04,Brushes Set,Color Matching,Industrial,3.1,13.86,181.16,PAINT-584
2023-10-05,Glossy Enamel,None,Auto,7.1,163.36,706.43,PAINT-684
2023-10-06,Matte White Base,None,Industrial,20.0,60.09,543.91,PAINT-168
2023-10-07,Glossy Enamel,Color Matching,Residential,30.4,183.35,571.79,PAINT-343
2023-10-08,Glossy Enamel,Color Matching,Industrial,28.5,47.69,539.65,PAINT-251
2023-10-09,Primer 5L,In-home Consult,Residential,36.0,108.2,52.57,PAINT-996
2023-10-10,Custom Mix (Blue),In-home Consult,Residential,35.0,92.28,547.09,PAINT-481
2023-10-11,Custom Mix (Blue),Color Matching,Commercial,37.4,131.34,251.12,PAINT-994
2023-10-12,Custom Mix (Blue),Delivery,Auto,4.8,161.15,141.7,PAINT-768
2023-10-13,Custom Mix (Blue),None,Residential,32.9,89.2,466.95,PAINT-450
2023-10-14,Matte White Base,In-home Consult,Residential,34.7,48.98,401.76,PAINT-164
2023-10-15,Matte White Base,Color Matching,Auto,17.5,151.12,782.36,PAINT-214
2023-10-16,Glossy Enamel,In-home Consult,Industrial,11.8,19.37,618.1,PAINT-141
2023-10-17,Primer 5L,None,Residential,42.9,141.25,226.29,PAINT-223
2023-10-18,Custom Mix (Blue),In-home Consult,Industrial,8.6,94.77,148.56,PAINT-267
2023-10-19,Matte White Base,Delivery,Auto,4.9,136.65,121.12,PAINT-907
2023-10-20,Matte White Base,In-home Consult,Industrial,32.7,173.0,599.91,PAINT-240
2023-10-21,Glossy Enamel,Color Matching,Residential,23.4,84.39,205.58,PAINT-754
2023-10-22,Glossy Enamel,Color Matching,Commercial,40.3,94.69,140.15,PAINT-327
2023-10-23,Matte White Base,In-home Consult,Commercial,40.3,88.97,66.63,PAINT-108
2023-10-24,Glossy Enamel,Color Matching,Residential,39.0,162.97,361.25,PAINT-998
2023-10-25,Glossy Enamel,Delivery,Residential,37.9,23.33,778.4,PAINT-687
2023-10-26,Glossy Enamel,Color Matching,Auto,8.8,95.23,787.46,PAINT-546
2023-10-27,Matte White Base,Delivery,Industrial,26.7,91.33,662.65,PAINT-162
2023-10-28,Brushes Set,Delivery,Auto,12.1,11.51,73.83,PAINT-247
2023-10-29,Brushes Set,None,Auto,28.5,166.93,433.81,PAINT-388
2023-10-30,Custom Mix (Blue),Color Matching,Commercial,47.5,126.83,631.84,PAINT-409
2023-10-31,Brushes Set,Delivery,Auto,32.6,121.3,466.86,PAINT-758
2023-11-01,Glossy Enamel,In-home Consult,Commercial,1.4,150.28,163.22,PAINT-186
2023-11-02,Primer 5L,Delivery,Industrial,32.5,53.24,792.42,PAINT-583
2023-11-03,Matte White Base,Color Matching,Commercial,33.7,112.11,102.98,PAINT-909
2023-11-04,Matte White Base,In-home Consult,Auto,20.5,56.55,661.53,PAINT-447
2023-11-05,Matte White Base,Color Matching,Commercial,2.7,29.07,91.95,PAINT-954
2023-11-06,Matte White Base,In-home Consult,Auto,35.2,56.99,170.07,PAINT-839
2023-11-07,Glossy Enamel,Delivery,Residential,20.1,74.42,683.79,PAINT-975
2023-11-08,Primer 5L,In-home Consult,Commercial,27.3,26.92,527.11,PAINT-444
2023-11-09,Matte White Base,Delivery,Auto,25.7,187.7,216.58,PAINT-162
2023-11-10,Custom Mix (Blue),In-home Consult,Industrial,38.2,57.45,598.78,PAINT-396
2023-11-11,Matte White Base,Color Matching,Auto,44.9,34.67,424.81,PAINT-258
2023-11-12,Primer 5L,None,Commercial,15.0,179.37,568.39,PAINT-370
2023-11-13,Brushes Set,None,Commercial,32.1,115.23,478.95,PAINT-162
2023-11-14,Primer 5L,Delivery,Auto,37.3,156.42,674.63,PAINT-550
2023-11-15,Primer 5L,In-home Consult,Residential,49.8,33.19,646.13,PAINT-344
